waveno,SA,mel,pre2,MF2,MFC2,pre4,MF4,MFC4,pre6,MF6,MFC6
3757.66789,0.99673,0.99724,0.99313,0.99492,0.9975,0.98869,0.99392,0.99632,0.99668,0.99455,0.99612
3755.6279,0.99667,0.99714,0.99313,0.99446,0.99722,0.9887,0.99338,0.99593,0.99658,0.99405,0.99575
3753.58791,0.99652,0.99705,0.99296,0.994,0.99694,0.98883,0.99283,0.99555,0.99644,0.99354,0.99538
3751.54791,0.99653,0.99697,0.99288,0.99354,0.99667,0.98881,0.99227,0.99517,0.99628,0.99302,0.99499
3749.50792,0.99672,0.99689,0.99296,0.99312,0.99643,0.98854,0.99172,0.99481,0.99614,0.99254,0.99461
3747.46793,0.9969,0.99681,0.99302,0.99275,0.99622,0.98818,0.99121,0.9945,0.99601,0.99212,0.99425
3745.42793,0.99692,0.99671,0.99291,0.99246,0.99606,0.98789,0.99079,0.99425,0.99587,0.99177,0.99395
3743.38794,0.99677,0.99658,0.99265,0.99225,0.99594,0.98777,0.99045,0.99406,0.99576,0.99152,0.99371
3741.34795,0.99655,0.99642,0.99237,0.99212,0.99586,0.98772,0.99022,0.99395,0.99567,0.99138,0.99353
3739.30795,0.99639,0.99624,0.99221,0.99207,0.99582,0.98758,0.99007,0.9939,0.99559,0.99129,0.99341
3737.26796,0.99648,0.99606,0.99231,0.99206,0.9958,0.98714,0.98996,0.99388,0.9955,0.99123,0.99333
3735.22797,0.99658,0.99594,0.99237,0.99208,0.99581,0.98666,0.9899,0.99389,0.99546,0.99124,0.99329
3733.18797,0.99635,0.99589,0.992,0.99217,0.99586,0.98654,0.98992,0.99396,0.99547,0.99134,0.99329
3731.14798,0.99611,0.99587,0.99153,0.99233,0.99596,0.98649,0.99003,0.9941,0.99551,0.99154,0.99337
3729.10799,0.99618,0.99587,0.99133,0.99256,0.99611,0.98616,0.99025,0.99431,0.99556,0.99181,0.99351
3727.06799,0.99629,0.9959,0.99119,0.99285,0.99629,0.98578,0.99055,0.99457,0.9956,0.99212,0.99371
3725.028,0.99608,0.996,0.99077,0.99317,0.99649,0.98577,0.99091,0.99486,0.99565,0.99245,0.99396
3722.98801,0.99589,0.99613,0.99038,0.99351,0.9967,0.98581,0.99132,0.99516,0.99573,0.99283,0.99424
3720.94801,0.99596,0.99623,0.99014,0.99387,0.99694,0.98564,0.99177,0.99548,0.99583,0.99326,0.99457
3718.90802,0.99586,0.99627,0.98967,0.99426,0.99719,0.9856,0.99225,0.99583,0.99593,0.99372,0.99493
3716.86803,0.9958,0.99629,0.98923,0.99466,0.99745,0.98544,0.99276,0.99618,0.99602,0.99418,0.9953
3714.82803,0.99612,0.99633,0.9892,0.99505,0.99769,0.98483,0.99326,0.99652,0.9961,0.99462,0.99568
3712.78804,0.99641,0.99644,0.9892,0.9954,0.99792,0.98421,0.99373,0.99683,0.99617,0.99501,0.99605
3710.74805,0.99627,0.99658,0.9888,0.99572,0.99812,0.98405,0.99415,0.9971,0.99624,0.99539,0.99638
3708.70805,0.9959,0.9967,0.98813,0.99601,0.9983,0.98416,0.99455,0.99734,0.99634,0.99575,0.9967
3706.66806,0.99568,0.99679,0.98751,0.99627,0.99848,0.98416,0.99492,0.99755,0.99642,0.99608,0.997
3704.62806,0.99572,0.99686,0.98709,0.9965,0.99863,0.98383,0.99525,0.99774,0.99647,0.99635,0.99726
3702.58807,0.996,0.99692,0.98687,0.99669,0.99874,0.98319,0.99552,0.99788,0.99652,0.99658,0.99748
3700.54808,0.99631,0.99697,0.98671,0.99685,0.99882,0.98248,0.99575,0.99799,0.99658,0.99677,0.99767
3698.50808,0.99624,0.99701,0.98625,0.99696,0.99887,0.98209,0.99595,0.99806,0.99662,0.99691,0.99782
3696.46809,0.99608,0.99701,0.98574,0.99703,0.99889,0.98172,0.99609,0.9981,0.99665,0.99699,0.99793
3694.4281,0.99614,0.99696,0.98549,0.99703,0.99887,0.98109,0.99618,0.9981,0.99668,0.99703,0.99801
3692.3881,0.99614,0.99689,0.98519,0.99699,0.99883,0.9805,0.99622,0.99808,0.9967,0.99703,0.99805
3690.34811,0.99615,0.99685,0.98479,0.99689,0.99877,0.9798,0.99619,0.99801,0.9967,0.99696,0.99804
3688.30812,0.99627,0.99683,0.98434,0.99674,0.9987,0.97888,0.99611,0.99793,0.9967,0.99687,0.998
3686.26812,0.99623,0.99684,0.98359,0.99657,0.99863,0.97803,0.99602,0.99786,0.99673,0.9968,0.99795
3684.22813,0.99607,0.99686,0.98262,0.99642,0.99858,0.97725,0.99594,0.99781,0.99674,0.99675,0.9979
3682.18814,0.99611,0.99685,0.98181,0.99626,0.99854,0.9762,0.99588,0.99776,0.99672,0.99668,0.99786
3680.14814,0.99623,0.99683,0.98104,0.9961,0.9985,0.97498,0.99582,0.99771,0.99665,0.99659,0.9978
3678.10815,0.99618,0.99681,0.98002,0.9959,0.99844,0.97377,0.99572,0.99763,0.99654,0.99645,0.99772
3676.06816,0.99618,0.99681,0.97891,0.99567,0.99838,0.97234,0.99558,0.99754,0.99644,0.99631,0.99761
3674.02816,0.99637,0.99683,0.97792,0.99542,0.99832,0.97059,0.99543,0.99744,0.99635,0.9962,0.9975
3671.98817,0.99642,0.99681,0.97682,0.99519,0.9983,0.96888,0.99531,0.99738,0.99624,0.99613,0.99741
3669.94818,0.99627,0.99673,0.97545,0.99498,0.99828,0.96729,0.99519,0.99733,0.99609,0.99605,0.99733
3667.90818,0.9962,0.99664,0.97404,0.99478,0.99828,0.9655,0.99509,0.9973,0.99593,0.99598,0.99726
3665.86819,0.99621,0.99658,0.97256,0.99459,0.99828,0.96359,0.99499,0.99728,0.99576,0.99594,0.9972
3663.8282,0.99604,0.99657,0.97078,0.99441,0.99829,0.96181,0.99491,0.99727,0.99557,0.9959,0.99716
3661.7882,0.99582,0.99653,0.96882,0.99423,0.9983,0.95999,0.99482,0.99727,0.99537,0.99586,0.99712
3659.74821,0.99578,0.99647,0.96689,0.99407,0.99831,0.95787,0.99474,0.99728,0.99514,0.99582,0.99708
3657.70822,0.99584,0.9964,0.96495,0.9939,0.99831,0.95553,0.99465,0.99729,0.99487,0.99575,0.99705
3655.66822,0.99604,0.99634,0.96307,0.99371,0.9983,0.95296,0.99454,0.99728,0.9946,0.99566,0.997
3653.62823,0.99642,0.99632,0.96139,0.99352,0.99828,0.95016,0.99441,0.99727,0.99432,0.99556,0.99695
3651.58824,0.99645,0.99632,0.95946,0.99331,0.99825,0.94767,0.99427,0.99724,0.99402,0.99542,0.99689
3649.54824,0.99602,0.99627,0.95703,0.99307,0.99821,0.9455,0.99409,0.99719,0.99371,0.99525,0.99681
3647.50825,0.99589,0.99617,0.95468,0.9928,0.99816,0.94292,0.99388,0.99712,0.99343,0.99508,0.99673
3645.46826,0.99609,0.99607,0.95253,0.99252,0.99812,0.93999,0.99366,0.99706,0.99317,0.99491,0.99664
3643.42826,0.99609,0.99601,0.95015,0.99225,0.99809,0.93723,0.99344,0.99702,0.99289,0.99475,0.99657
3641.38827,0.99599,0.99596,0.94764,0.99198,0.99807,0.93451,0.99323,0.99697,0.99262,0.99457,0.9965
3639.34828,0.99602,0.99591,0.9452,0.99172,0.99806,0.93161,0.99302,0.99693,0.99235,0.9944,0.99643
3637.30828,0.9961,0.99586,0.94282,0.99145,0.99804,0.92868,0.9928,0.99688,0.99206,0.99421,0.99636
3635.26829,0.99616,0.99585,0.94046,0.99117,0.99801,0.92578,0.99255,0.9968,0.99176,0.99398,0.99627
3633.22829,0.99628,0.99587,0.93819,0.99087,0.99795,0.92285,0.99228,0.9967,0.99145,0.99373,0.99616
3631.1883,0.99627,0.9959,0.93584,0.99054,0.99789,0.92004,0.99197,0.99658,0.99116,0.99346,0.99604
3629.14831,0.99626,0.99591,0.93347,0.99021,0.99782,0.91721,0.99164,0.99645,0.99088,0.99319,0.9959
3627.10831,0.9965,0.99591,0.93135,0.98988,0.99775,0.91412,0.9913,0.99633,0.99066,0.99297,0.99576
3625.06832,0.99664,0.99591,0.9292,0.98959,0.9977,0.9112,0.991,0.99624,0.99045,0.9928,0.99566
3623.02833,0.99641,0.99588,0.92674,0.98933,0.99767,0.90871,0.99073,0.99618,0.99022,0.99262,0.99557
3620.98833,0.99623,0.99585,0.92423,0.98909,0.99764,0.90615,0.99047,0.99613,0.98996,0.99244,0.9955
3618.94834,0.99626,0.99585,0.92188,0.98886,0.99761,0.90333,0.9902,0.9961,0.98969,0.99228,0.99543
3616.90835,0.99627,0.9959,0.91951,0.98864,0.99758,0.90052,0.98992,0.99607,0.98941,0.99211,0.99537
3614.86835,0.99625,0.99597,0.91707,0.98843,0.99755,0.89771,0.98965,0.99607,0.98909,0.99195,0.99532
3612.82836,0.99638,0.99608,0.91477,0.98824,0.99753,0.89481,0.98939,0.99607,0.98876,0.9918,0.99527
3610.78837,0.99649,0.99618,0.91255,0.98807,0.99752,0.89196,0.98914,0.9961,0.98843,0.99168,0.99524
3608.74837,0.99648,0.99624,0.91026,0.98792,0.99753,0.8892,0.98893,0.99615,0.9881,0.99159,0.99524
3606.70838,0.99654,0.99625,0.90799,0.9878,0.99755,0.88634,0.98875,0.99622,0.98777,0.99156,0.99525
3604.66839,0.99655,0.99624,0.90567,0.98771,0.99759,0.8835,0.98861,0.99631,0.98744,0.99155,0.99529
3602.62839,0.99631,0.9962,0.90307,0.98762,0.99763,0.88088,0.98847,0.99641,0.98709,0.99155,0.99533
3600.5884,0.99616,0.99614,0.90043,0.98753,0.99767,0.87814,0.98834,0.9965,0.98674,0.99156,0.99538
3598.54841,0.99623,0.99612,0.89796,0.98743,0.99771,0.87516,0.9882,0.99659,0.98639,0.99159,0.99544
3596.50841,0.99631,0.99614,0.89553,0.98733,0.99776,0.8722,0.98809,0.99669,0.98602,0.99162,0.9955
3594.46842,0.99629,0.99619,0.89304,0.98724,0.99782,0.86936,0.98798,0.99679,0.98563,0.99164,0.99557
3592.42843,0.9963,0.99625,0.89061,0.98714,0.99787,0.86651,0.98787,0.99687,0.98523,0.99166,0.99564
3590.38843,0.99635,0.9963,0.88837,0.98703,0.99792,0.86361,0.98775,0.99694,0.98483,0.99167,0.99571
3588.34844,0.99629,0.99633,0.88612,0.98691,0.99796,0.8608,0.98762,0.99699,0.98443,0.99167,0.99576
3586.30845,0.99622,0.99632,0.88379,0.98679,0.99799,0.85798,0.98748,0.99703,0.98406,0.99167,0.9958
3584.26845,0.99623,0.99628,0.88143,0.98666,0.99802,0.85506,0.98734,0.99706,0.98372,0.99169,0.99585
3582.22846,0.99619,0.99621,0.87895,0.98653,0.99806,0.85217,0.98721,0.99709,0.98339,0.9917,0.99589
3580.18847,0.99616,0.99613,0.87641,0.98639,0.99809,0.84922,0.98707,0.99711,0.98307,0.99171,0.99594
3578.14847,0.99627,0.99611,0.87394,0.98624,0.99813,0.84612,0.98693,0.99712,0.98274,0.9917,0.99597
3576.10848,0.99635,0.99614,0.87149,0.98608,0.99816,0.84306,0.98676,0.99712,0.98239,0.99165,0.996
3574.06849,0.99634,0.99623,0.86897,0.98589,0.99819,0.8401,0.98656,0.9971,0.98202,0.99155,0.996
3572.02849,0.99638,0.99634,0.86648,0.98567,0.9982,0.83708,0.98632,0.99708,0.98162,0.99142,0.99598
3569.9885,0.99643,0.99646,0.86404,0.98544,0.99822,0.83405,0.98606,0.99704,0.98122,0.99126,0.99596
3567.94851,0.99641,0.99654,0.86157,0.98519,0.99823,0.83106,0.98579,0.997,0.98082,0.99109,0.99592
3565.90851,0.99647,0.99657,0.85913,0.98496,0.99826,0.82799,0.98551,0.99698,0.98043,0.99094,0.99589
3563.86852,0.99659,0.99659,0.8567,0.98474,0.9983,0.82485,0.98527,0.99699,0.98007,0.99083,0.99588
3561.82852,0.99659,0.9966,0.85414,0.98456,0.99836,0.82182,0.98505,0.99702,0.97971,0.99074,0.99589
3559.78853,0.99652,0.99659,0.85144,0.98438,0.99841,0.81881,0.98484,0.99707,0.97935,0.99065,0.99591
3557.74854,0.99651,0.9966,0.84874,0.98421,0.99847,0.8157,0.98462,0.99713,0.97897,0.99057,0.99593
3555.70854,0.99653,0.99663,0.84608,0.98403,0.9985,0.81257,0.98439,0.99718,0.97858,0.99047,0.99594
3553.66855,0.99654,0.99668,0.84344,0.98383,0.99852,0.80946,0.98412,0.99723,0.97817,0.99035,0.99595
3551.62856,0.99649,0.99676,0.8408,0.98362,0.99853,0.80639,0.98383,0.99726,0.97774,0.99022,0.99595
3549.58856,0.99643,0.99688,0.83815,0.9834,0.99854,0.8033,0.98352,0.99729,0.97732,0.9901,0.99594
3547.54857,0.99641,0.99698,0.83551,0.9832,0.99854,0.80014,0.98322,0.99734,0.97688,0.98998,0.99594
3545.50858,0.99647,0.99705,0.83294,0.98301,0.99856,0.79688,0.98292,0.99739,0.97645,0.98989,0.99595
3543.46858,0.99651,0.99708,0.83038,0.98285,0.99858,0.79361,0.98263,0.99745,0.97603,0.98982,0.99597
3541.42859,0.99639,0.9971,0.82764,0.98271,0.9986,0.79041,0.98235,0.99751,0.97563,0.98977,0.99599
3539.3886,0.99626,0.99709,0.82464,0.98258,0.99863,0.78714,0.98207,0.99757,0.97523,0.98974,0.99602
3537.3486,0.99628,0.99711,0.82152,0.98245,0.99865,0.78365,0.98178,0.99762,0.97483,0.98971,0.99605
3535.30861,0.99635,0.99716,0.81833,0.98231,0.99868,0.78003,0.98149,0.99767,0.97442,0.98968,0.99608
